code,valid
ze,0
zf,0
zg,0
zh,1
zi,0
zj,0
zk,0
zl,0
zm,0
zn,0
zo,0
zp,0
zq,0
zr,0
zs,0
zt,0
zu,1
zv,0
zw,0
zx,0
zy,0
zz,0
